,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data
0,0,[11],0.8690000176429749,"room, get, one, take, tip, hotel, use, good, could, drink","If you do end up here, be sure to specify a room at the back of the hotel.",end sure specify room back hotel
1,1,[11],0.954200029373169,"room, get, one, take, tip, hotel, use, good, could, drink",and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,wake early morning fire local bus service courtyard face room essential unless industrial strength earplug room small ill conceive
2,2,[4],0.9427000284194946,"stay, room, hotel, would, get, recommend, want, need, go, one","As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",general tip need use internet whilst berlin look easy internet cafe go huge one kurfurstendam
3,3,[5],0.6944000124931335,"room, get, stay, go, tip, staff, good, book, check, like","If you expect no more than that, you won't be disappointed.",expect disappointed
4,4,[0],0.8981000185012817,"time, room, check, stay, metro, anything, less, go, good, arrive","Room was big, bath was lovely, but watch out for the tile floor after you shower.",room big bath lovely watch tile floor shower
5,5,[9],0.8853999972343445,"room, stay, go, hotel, look, leave, price, service, expect, place",Desk staff needs to go to a Waldorf class on manners.,desk staff need go waldorf class manner
6,6,[5],0.8166999816894531,"room, get, stay, go, tip, staff, good, book, check, like",Chair upholstery needs to be cleaned.,chair upholstery need clean
7,7,[2],0.8166999816894531,"go, breakfast, want, think, look, block, get, recommend, around, best","Don't eat breakfast in the restaurant, too costly.",eat breakfast restaurant costly
8,8,[11],0.90829998254776,"room, get, one, take, tip, hotel, use, good, could, drink","Walk 2 to 3 blocks away and get a muffin, coffee, or egg sandwich for about 6 Euros..",walk block away get muffin coffee egg sandwich euro
9,9,[9],0.8471999764442444,"room, stay, go, hotel, look, leave, price, service, expect, place",Look around the same area for another hotel.,look around area another hotel
