,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data,cluster_tag
0,0,[0],0.1363,"room, floor, view, call, clean, internet, service, drink, high, deal","If you do end up here, be sure to specify a room at the back of the hotel.",end sure specify room back hotel,['facility']
1,1,[6],0.1818,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,wake early morning fire local bus service courtyard face room essential unless industrial strength earplug room small ill conceive,['service']
2,2,[0],0.169,"room, floor, view, call, clean, internet, service, drink, high, deal","As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",general tip need use internet whilst berlin look easy internet cafe go huge one kurfurstendam,['facility']
3,3,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line","If you expect no more than that, you won't be disappointed.",expect disappointed,['quality']
4,4,[4],0.1691,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Room was big, bath was lovely, but watch out for the tile floor after you shower.",room big bath lovely watch tile floor shower,['value']
5,5,[7],0.1561,"good, recommend, staff, price, place, city, nice, water, visit, side",Desk staff needs to go to a Waldorf class on manners.,desk staff need go waldorf class manner,['food']
6,6,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal",Chair upholstery needs to be cleaned.,chair upholstery need clean,['facility']
7,7,[2],0.1363,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Don't eat breakfast in the restaurant, too costly.",eat breakfast restaurant costly,['location']
8,8,[7],0.1564,"good, recommend, staff, price, place, city, nice, water, visit, side","Walk 2 to 3 blocks away and get a muffin, coffee, or egg sandwich for about 6 Euros..",walk block away get muffin coffee egg sandwich euro,['food']
9,9,[4],0.1565,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Look around the same area for another hotel.,look around area another hotel,['value']
10,10,[0],0.1516,"room, floor, view, call, clean, internet, service, drink, high, deal","With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",high breakfast price ever see would nice room beverage station coffee maker like one usually find westins,['facility']
11,11,[6],0.1473,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","If you're looking for that famous Berlin nightlife, look elsewhere.",look famous berlin nightlife look elsewhere,['service']
12,12,[1],0.1652,"walk, make, expect, night, leave, shop, beware, careful, service, line",Avoid these rooms - it is very clear why they do not have a photograph of them on their web site.,avoid room clear photograph web site,['quality']
13,13,[0],0.1343,"room, floor, view, call, clean, internet, service, drink, high, deal",Even with these benefits I would not recommend staying in this hotel.,even benefit would recommend stay hotel,['facility']
14,14,[0],0.1623,"room, floor, view, call, clean, internet, service, drink, high, deal",Rooms needed upgrading badly (and our view was of the roof!) and a good clean!,room need upgrade badly view roof good clean,['facility']
15,15,[7],0.1691,"good, recommend, staff, price, place, city, nice, water, visit, side","If you have the chance, go for the brand new Radisson, Hyatt, Marriott or Adlon.",chance go brand new radisson hyatt marriott adlon,['food']
16,16,[5],0.1434,"stay, resort, mind, suggest, money, car, front, star, noise, choice","If you get a great rate per night, like I did using a voucher system, is OK, but otherwise stay elsewhere.",get great rate per night like use voucher system ok otherwise stay elsewhere,['room']
