,Title,Body,Cleaned Data,Cluster,cluster_id
0,berlin-hotel-190599-review-2.json_8,"If you do end up here, be sure to specify a room at the back of the hotel.",end sure specify room back hotel,quality,1
1,berlin-hotel-190599-review-3.json_2,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,wake early morning fire local bus service courtyard face room essential unless industrial strength earplug room small ill conceive,quality,1
2,berlin-hotel-190599-review-4.json_16,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",general tip need use internet whilst berlin look easy internet cafe go huge one kurfurstendam,service,6
3,berlin-hotel-190599-review-4.json_22,"If you expect no more than that, you won't be disappointed.",expect disappointed,service,6
4,berlin-hotel-191437-review-1.json_2,"Room was big, bath was lovely, but watch out for the tile floor after you shower.",room big bath lovely watch tile floor shower,quality,1
5,berlin-hotel-191437-review-1.json_5,Desk staff needs to go to a Waldorf class on manners.,desk staff need go waldorf class manner,service,6
6,berlin-hotel-191437-review-1.json_9,Chair upholstery needs to be cleaned.,chair upholstery need clean,service,6
7,berlin-hotel-191437-review-1.json_12,"Don't eat breakfast in the restaurant, too costly.",eat breakfast restaurant costly,service,6
8,berlin-hotel-191437-review-1.json_13,"Walk 2 to 3 blocks away and get a muffin, coffee, or egg sandwich for about 6 Euros..",walk block away get muffin coffee egg sandwich euro,service,6
9,berlin-hotel-191437-review-1.json_15,Look around the same area for another hotel.,look around area another hotel,staff,3
10,berlin-hotel-191437-review-10.json_11,"With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",high breakfast price ever see would nice room beverage station coffee maker like one usually find westins,quality,1
11,berlin-hotel-191437-review-12.json_6,"If you're looking for that famous Berlin nightlife, look elsewhere.",look famous berlin nightlife look elsewhere,service,6
12,berlin-hotel-191437-review-15.json_9,Avoid these rooms - it is very clear why they do not have a photograph of them on their web site.,avoid room clear photograph web site,quality,1
13,berlin-hotel-191437-review-15.json_14,Even with these benefits I would not recommend staying in this hotel.,even benefit would recommend stay hotel,value,4
14,berlin-hotel-191437-review-16.json_1,Rooms needed upgrading badly (and our view was of the roof!) and a good clean!,room need upgrade badly view roof good clean,quality,1
15,berlin-hotel-191437-review-19.json_12,"If you have the chance, go for the brand new Radisson, Hyatt, Marriott or Adlon.",chance go brand new radisson hyatt marriott adlon,service,6
