,hotel_name,reviews,label,reviews_fixed,tokenized_reviews,stop_words_removed,stop_words_removed_lemmatized,stop_words_removed_stemmed
0,berlin-hotel-190599-review-1.json_0,This hotel was very modern and sleek.,0,This hotel was very modern and sleek,"['this', 'hotel', 'was', 'very', 'modern', 'and', 'sleek']","['hotel', 'modern', 'sleek']","['hotel', 'modern', 'sleek']","['hotel', 'modern', 'sleek']"
1,berlin-hotel-190599-review-1.json_1,"Beautiful, well-laid out, albeiit small rooms.",0,Beautiful well laid out albeiit small rooms,"['beautiful', 'well', 'laid', 'out', 'albeiit', 'small', 'rooms']","['beautiful', 'well', 'laid', 'albeiit', 'small', 'rooms']","['beautiful', 'well', 'lay', 'albeiit', 'small', 'room']","['beauti', 'well', 'laid', 'albeiit', 'small', 'room']"
2,berlin-hotel-190599-review-1.json_2,"Fantastic breakfast with an incredible selection of meats, cheeses, yogurts, breads etc. And, as a non-German speaker,",0,Fantastic breakfast with an incredible selection of meats cheeses yogurts breads etc And as non German speaker,"['fantastic', 'breakfast', 'with', 'an', 'incredible', 'selection', 'of', 'meats', 'cheeses', 'yogurts', 'breads', 'etc', 'and', 'as', 'non', 'german', 'speaker']","['fantastic', 'breakfast', 'incredible', 'selection', 'meats', 'cheeses', 'yogurts', 'breads', 'etc', 'non', 'german', 'speaker']","['fantastic', 'breakfast', 'incredible', 'selection', 'meat', 'cheese', 'yogurt', 'bread', 'etc', 'non', 'german', 'speaker']","['fantast', 'breakfast', 'incred', 'select', 'meat', 'chees', 'yogurt', 'bread', 'etc', 'non', 'german', 'speaker']"
3,berlin-hotel-190599-review-1.json_3,the staff were uber-helpful.,0,the staff we are uber helpful,"['the', 'staff', 'we', 'are', 'uber', 'helpful']","['staff', 'uber', 'helpful']","['staff', 'uber', 'helpful']","['staff', 'uber', 'help']"
4,berlin-hotel-190599-review-1.json_4,Great location in front of a u-bahn stop.,0,Great location in front of bahn stop,"['great', 'location', 'in', 'front', 'of', 'bahn', 'stop']","['great', 'location', 'front', 'bahn', 'stop']","['great', 'location', 'front', 'bahn', 'stop']","['great', 'locat', 'front', 'bahn', 'stop']"
5,berlin-hotel-190599-review-2.json_0,"Our first trip to Berlin, so we were unfamiliar with the city layout.",0,Our first trip to Berlin so we we are unfamiliar with the city layout,"['our', 'first', 'trip', 'to', 'berlin', 'so', 'we', 'we', 'are', 'unfamiliar', 'with', 'the', 'city', 'layout']","['first', 'trip', 'berlin', 'unfamiliar', 'city', 'layout']","['first', 'trip', 'berlin', 'unfamiliar', 'city', 'layout']","['first', 'trip', 'berlin', 'unfamiliar', 'citi', 'layout']"
6,berlin-hotel-190599-review-2.json_1,But we were drawn to the design of the Art'otel.,0,But we we are drawn to the design of the Art otel,"['but', 'we', 'we', 'are', 'drawn', 'to', 'the', 'design', 'of', 'the', 'art', 'otel']","['drawn', 'design', 'art', 'otel']","['drawn', 'design', 'art', 'otel']","['drawn', 'design', 'art', 'otel']"
7,berlin-hotel-190599-review-2.json_2,"Yes, the public spaces are nicely designed,",0,Yes the public spaces are nicely designed,"['yes', 'the', 'public', 'spaces', 'are', 'nicely', 'designed']","['yes', 'public', 'spaces', 'nicely', 'designed']","['yes', 'public', 'space', 'nicely', 'design']","['ye', 'public', 'space', 'nice', 'design']"
8,berlin-hotel-190599-review-2.json_3,as are the rooms.,0,as are the rooms,"['as', 'are', 'the', 'rooms']",['rooms'],['room'],['room']
9,berlin-hotel-190599-review-2.json_4,But the rooms are small and not very functional.,0,But the rooms are small and not very functional,"['but', 'the', 'rooms', 'are', 'small', 'and', 'not', 'very', 'functional']","['rooms', 'small', 'functional']","['room', 'small', 'functional']","['room', 'small', 'function']"
10,berlin-hotel-190599-review-2.json_5,And the location is definitely out of the way (although there is an U-bahn station just a half block away).,0,And the location is definitely out of the way although there is an bahn station just half block away,"['and', 'the', 'location', 'is', 'definitely', 'out', 'of', 'the', 'way', 'although', 'there', 'is', 'an', 'bahn', 'station', 'just', 'half', 'block', 'away']","['location', 'definitely', 'way', 'although', 'bahn', 'station', 'half', 'block', 'away']","['location', 'definitely', 'way', 'although', 'bahn', 'station', 'half', 'block', 'away']","['locat', 'definit', 'way', 'although', 'bahn', 'station', 'half', 'block', 'away']"
11,berlin-hotel-190599-review-2.json_6,And we were really put off by the tourist buses and groups.,0,And we we are really put off by the tourist buses and groups,"['and', 'we', 'we', 'are', 'really', 'put', 'off', 'by', 'the', 'tourist', 'buses', 'and', 'groups']","['really', 'put', 'tourist', 'buses', 'groups']","['really', 'put', 'tourist', 'bus', 'group']","['realli', 'put', 'tourist', 'buse', 'group']"
12,berlin-hotel-190599-review-2.json_7,Not really our scene.,0,Not really our scene,"['not', 'really', 'our', 'scene']","['really', 'scene']","['really', 'scene']","['realli', 'scene']"
13,berlin-hotel-190599-review-2.json_8,"If you do end up here, be sure to specify a room at the back of the hotel.",1,If you do end up here be sure to specify room at the back of the hotel,"['if', 'you', 'do', 'end', 'up', 'here', 'be', 'sure', 'to', 'specify', 'room', 'at', 'the', 'back', 'of', 'the', 'hotel']","['end', 'sure', 'specify', 'room', 'back', 'hotel']","['end', 'sure', 'specify', 'room', 'back', 'hotel']","['end', 'sure', 'specifi', 'room', 'back', 'hotel']"
14,berlin-hotel-190599-review-2.json_9,The ones on the front are very noisy.,0,The ones on the front are very noisy,"['the', 'ones', 'on', 'the', 'front', 'are', 'very', 'noisy']","['ones', 'front', 'noisy']","['one', 'front', 'noisy']","['one', 'front', 'noisi']"
15,berlin-hotel-190599-review-3.json_0,"Directly across the street from an informal bus terminus the hotel is also very convenient for the U-Bahn into town and some points in the East on foot, but quite a walk away from the heart of things.",0,Directly across the street from an informal bus terminus the hotel is also very convenient for the Bahn into town and some points in the East on foot but quite walk away from the heart of things,"['directly', 'across', 'the', 'street', 'from', 'an', 'informal', 'bus', 'terminus', 'the', 'hotel', 'is', 'also', 'very', 'convenient', 'for', 'the', 'bahn', 'into', 'town', 'and', 'some', 'points', 'in', 'the', 'east', 'on', 'foot', 'but', 'quite', 'walk', 'away', 'from', 'the', 'heart', 'of', 'things']","['directly', 'across', 'street', 'informal', 'bus', 'terminus', 'hotel', 'also', 'convenient', 'bahn', 'town', 'points', 'east', 'foot', 'quite', 'walk', 'away', 'heart', 'things']","['directly', 'across', 'street', 'informal', 'bus', 'terminus', 'hotel', 'also', 'convenient', 'bahn', 'town', 'point', 'east', 'foot', 'quite', 'walk', 'away', 'heart', 'thing']","['directli', 'across', 'street', 'inform', 'bu', 'terminu', 'hotel', 'also', 'conveni', 'bahn', 'town', 'point', 'east', 'foot', 'quit', 'walk', 'away', 'heart', 'thing']"
16,berlin-hotel-190599-review-3.json_1,"The staff was friendly and tried to be accomodating, but couldn't give me a non-smoking room for the first night, nor an internal room,",0,The staff was friendly and tried to be accomodating but could not give me non smoking room for the first night nor an internal room,"['the', 'staff', 'was', 'friendly', 'and', 'tried', 'to', 'be', 'accomodating', 'but', 'could', 'not', 'give', 'me', 'non', 'smoking', 'room', 'for', 'the', 'first', 'night', 'nor', 'an', 'internal', 'room']","['staff', 'friendly', 'tried', 'accomodating', 'could', 'give', 'non', 'smoking', 'room', 'first', 'night', 'internal', 'room']","['staff', 'friendly', 'try', 'accomodating', 'could', 'give', 'non', 'smoking', 'room', 'first', 'night', 'internal', 'room']","['staff', 'friendli', 'tri', 'accomod', 'could', 'give', 'non', 'smoke', 'room', 'first', 'night', 'intern', 'room']"
17,berlin-hotel-190599-review-3.json_2,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,1,and was woken by the early morning firing up of the local bus service courtyard facing room is essential unless you have industrial strength earplugs The rooms are small and ill conceived,"['and', 'was', 'woken', 'by', 'the', 'early', 'morning', 'firing', 'up', 'of', 'the', 'local', 'bus', 'service', 'courtyard', 'facing', 'room', 'is', 'essential', 'unless', 'you', 'have', 'industrial', 'strength', 'earplugs', 'the', 'rooms', 'are', 'small', 'and', 'ill', 'conceived']","['woken', 'early', 'morning', 'firing', 'local', 'bus', 'service', 'courtyard', 'facing', 'room', 'essential', 'unless', 'industrial', 'strength', 'earplugs', 'rooms', 'small', 'ill', 'conceived']","['wake', 'early', 'morning', 'fire', 'local', 'bus', 'service', 'courtyard', 'face', 'room', 'essential', 'unless', 'industrial', 'strength', 'earplug', 'room', 'small', 'ill', 'conceive']","['woken', 'earli', 'morn', 'fire', 'local', 'bu', 'servic', 'courtyard', 'face', 'room', 'essenti', 'unless', 'industri', 'strength', 'earplug', 'room', 'small', 'ill', 'conceiv']"
18,berlin-hotel-190599-review-3.json_3,Too much attention on 'fabulousness' throughout the hotel (the public spaces are sleek and unwelcoming) and not enough on basic guest comfort.,0,Too much attention on fabulousness throughout the hotel the public spaces are sleek and unwelcoming and not enough on basic guest comfort,"['too', 'much', 'attention', 'on', 'fabulousness', 'throughout', 'the', 'hotel', 'the', 'public', 'spaces', 'are', 'sleek', 'and', 'unwelcoming', 'and', 'not', 'enough', 'on', 'basic', 'guest', 'comfort']","['much', 'attention', 'fabulousness', 'throughout', 'hotel', 'public', 'spaces', 'sleek', 'unwelcoming', 'enough', 'basic', 'guest', 'comfort']","['much', 'attention', 'fabulousness', 'throughout', 'hotel', 'public', 'space', 'sleek', 'unwelcoming', 'enough', 'basic', 'guest', 'comfort']","['much', 'attent', 'fabul', 'throughout', 'hotel', 'public', 'space', 'sleek', 'unwelcom', 'enough', 'basic', 'guest', 'comfort']"
19,berlin-hotel-190599-review-4.json_0,"Having previously enjoyed a great week's stay at the sister art'otel in Berlin (the Warhol-themed City Centre West), we decided to book a 4-night stay at this hotel so we could visit more of the sights on the eastern side of the city.",0,Having previously enjoyed great week stay at the sister art otel in Berlin the Warhol themed City Centre West we decided to book night stay at this hotel so we could visit more of the sights on the eastern side of the city,"['having', 'previously', 'enjoyed', 'great', 'week', 'stay', 'at', 'the', 'sister', 'art', 'otel', 'in', 'berlin', 'the', 'warhol', 'themed', 'city', 'centre', 'west', 'we', 'decided', 'to', 'book', 'night', 'stay', 'at', 'this', 'hotel', 'so', 'we', 'could', 'visit', 'more', 'of', 'the', 'sights', 'on', 'the', 'eastern', 'side', 'of', 'the', 'city']","['previously', 'enjoyed', 'great', 'week', 'stay', 'sister', 'art', 'otel', 'berlin', 'warhol', 'themed', 'city', 'centre', 'west', 'decided', 'book', 'night', 'stay', 'hotel', 'could', 'visit', 'sights', 'eastern', 'side', 'city']","['previously', 'enjoy', 'great', 'week', 'stay', 'sister', 'art', 'otel', 'berlin', 'warhol', 'theme', 'city', 'centre', 'west', 'decide', 'book', 'night', 'stay', 'hotel', 'could', 'visit', 'sight', 'eastern', 'side', 'city']","['previous', 'enjoy', 'great', 'week', 'stay', 'sister', 'art', 'otel', 'berlin', 'warhol', 'theme', 'citi', 'centr', 'west', 'decid', 'book', 'night', 'stay', 'hotel', 'could', 'visit', 'sight', 'eastern', 'side', 'citi']"
20,berlin-hotel-190599-review-4.json_1,The difference was stark.,0,The difference was stark,"['the', 'difference', 'was', 'stark']","['difference', 'stark']","['difference', 'stark']","['differ', 'stark']"
